代码,名称,PE,ROE_平均,ROE_最低,ROIC_平均,ROIC_最低
600809,山西汾酒,14.79,32.05,18.18,31.12,17.75
002847,盐津铺子,25.39,23.96,9.32,16.55,6.07
300760,迈瑞医疗,17.62,21.34,7.06,19.74,6.11
301004,嘉益股份,9.28,21.21,5.89,19.66,5.82
000568,泸州老窖,11.34,20.96,9.42,17.13,7.83
603198,迎驾贡酒,9.88,18.37,8.08,18.17,7.7
603369,今世缘,9.87,17.96,10.1,16.6,9.31
300896,爱美客,28.14,17.36,5.53,16.49,5.29
002517,恺英网络,23.98,16.99,6.26,18.45,7.21
688617,惠泰医疗,42.44,16.38,5.65,15.16,5.14
600211,西藏药业,14.03,15.73,6.72,12.97,5.33
000596,古井贡酒,9.99,15.25,8.13,14.18,7.55
600285,羚锐制药,17.49,14.99,5.5,13.82,5.16
002304,洋河股份,11.47,14.76,7.04,14.16,6.91
603288,海天味业,33.01,14.76,6.29,13.34,5.83
600436,片仔癀,30.99,14.41,6.57,12.82,5.97
000848,承德露露,12.09,14.18,6.09,13.18,5.64
600750,华润江中,18.07,13.65,6.0,11.98,5.35
600600,青岛啤酒,18.57,12.85,5.53,11.82,5.07
600598,北大荒,24.59,12.81,6.67,12.16,6.61
601038,一拖股份,17.77,12.19,7.04,10.42,6.37
002832,比音勒芬,12.69,11.8,6.09,10.41,5.2
603589,口子窖,8.95,11.19,5.64,11.02,5.43
603919,金徽酒,25.03,8.43,5.61,7.87,5.46
