ts_code,name,industry,area
000858.SZ,五粮液,白酒,四川
000963.SZ,华东医药,化学制药,浙江
600007.SH,中国国贸,园区开发,北京
600161.SH,天坛生物,生物制药,北京
600276.SH,恒瑞医药,化学制药,江苏
600285.SH,羚锐制药,中成药,河南
600519.SH,贵州茅台,白酒,贵州
600845.SH,宝信软件,软件服务,上海
601088.SH,中国神华,煤炭开采,北京
002372.SZ,伟星新材,其他建材,浙江
300130.SZ,新国都,IT设备,深圳
002508.SZ,老板电器,家用电器,浙江
002557.SZ,洽洽食品,食品,安徽
002543.SZ,万和电气,家用电器,广东
002555.SZ,三七互娱,互联网,安徽
300192.SZ,科德教育,文教休闲,江苏
002605.SZ,姚记科技,互联网,上海
601100.SH,恒立液压,工程机械,江苏
601225.SH,陕西煤业,煤炭开采,陕西
002632.SZ,道明光学,塑料,浙江
300286.SZ,安科瑞,电器仪表,上海
002690.SZ,美亚光电,专用机械,安徽
603288.SH,海天味业,食品,广东
300357.SZ,我武生物,生物制药,浙江
603369.SH,今世缘,白酒,江苏
603013.SH,亚普股份,汽车配件,江苏
601811.SH,新华文轩,出版业,四川
002763.SZ,汇洁股份,服饰,深圳
603868.SH,飞科电器,家用电器,上海
603444.SH,吉比特,互联网,福建
603043.SH,广州酒家,食品,广东
300487.SZ,蓝晓科技,化工原料,陕西
603203.SH,快克智能,专用机械,江苏
002833.SZ,弘亚数控,专用机械,广东
300628.SZ,亿联网络,通信设备,福建
603605.SH,珀莱雅,日用化工,浙江
300760.SZ,迈瑞医疗,医疗保健,深圳
603277.SH,银都股份,专用机械,浙江
