ts_code,name,pe_ttm
300641.SZ,正丹股份,10.74
300577.SZ,开润股份,13.0
300533.SZ,冰川网络,13.64
300360.SZ,炬华科技,13.97
300926.SZ,博俊科技,14.14
300967.SZ,晓鸣股份,14.24
300927.SZ,江天化学,14.85
300662.SZ,科锐国际,15.15
300628.SZ,亿联网络,15.63
300388.SZ,节能国祯,15.67
300441.SZ,鲍斯股份,15.83
300979.SZ,华利集团,15.88
300428.SZ,立中集团,15.89
300406.SZ,九强生物,16.19
300815.SZ,玉禾田,16.22
300415.SZ,伊之密,16.5
300193.SZ,佳士科技,17.17
300230.SZ,永利股份,17.37
300138.SZ,晨光生物,17.39
300729.SZ,乐歌股份,17.7
300039.SZ,上海凯宝,17.92
300973.SZ,立高食品,17.97
300873.SZ,海晨股份,18.2
300181.SZ,佐力药业,18.28
300791.SZ,仙乐健康,18.46
300384.SZ,三联虹普,18.53
300470.SZ,中密控股,18.73
300505.SZ,川金诺,19.1
300446.SZ,航天智造,19.14
300910.SZ,瑞丰新材,19.16
300596.SZ,利安隆,19.26
300695.SZ,兆丰股份,19.56
300453.SZ,三鑫医疗,19.73
300515.SZ,三德科技,20.08
300218.SZ,安利股份,20.33
300251.SZ,光线传媒,20.38
300664.SZ,鹏鹞环保,20.67
300228.SZ,富瑞特装,20.69
300119.SZ,瑞普生物,20.73
300864.SZ,南大环境,21.05
300532.SZ,今天国际,21.08
300994.SZ,久祺股份,21.15
300677.SZ,英科医疗,21.28
300349.SZ,金卡智能,21.4
300498.SZ,温氏股份,21.49
300196.SZ,长海股份,21.86
300888.SZ,稳健医疗,21.95
300259.SZ,新天科技,21.98
300908.SZ,仲景食品,22.04
300274.SZ,阳光电源,22.11
300850.SZ,新强联,22.34
300160.SZ,秀强股份,22.34
300871.SZ,回盛生物,22.38
300993.SZ,玉马科技,22.68
300514.SZ,友讯达,22.72
300456.SZ,赛微电子,23.05
300643.SZ,万通智控,23.11
300009.SZ,安科生物,23.12
300002.SZ,神州泰岳,23.34
300833.SZ,浩洋股份,23.56
300866.SZ,安克创新,23.61
300146.SZ,汤臣倍健,23.73
300867.SZ,圣元环保,23.78
300163.SZ,先锋新材,23.85
300012.SZ,华测检测,24.02
300743.SZ,天地数码,24.13
300685.SZ,艾德生物,24.51
300174.SZ,元力股份,24.81
300566.SZ,激智科技,24.9
300976.SZ,达瑞电子,24.96
300304.SZ,云意电气,25.04
300059.SZ,东方财富,25.12
300573.SZ,兴齐眼药,25.25
300401.SZ,花园生物,25.64
300144.SZ,宋城演艺,25.77
300881.SZ,盛德鑫泰,25.89
300972.SZ,万辰集团,25.9
300595.SZ,欧普康视,26.26
300001.SZ,特锐德,26.33
300761.SZ,立华股份,26.48
300452.SZ,山河药辅,26.91
300679.SZ,电连技术,27.0
300121.SZ,阳谷华泰,27.37
300442.SZ,润泽科技,27.38
300703.SZ,创源股份,27.5
300019.SZ,硅宝科技,27.54
300140.SZ,节能环境,27.56
300015.SZ,爱尔眼科,27.81
300525.SZ,博思软件,28.51
300320.SZ,海达股份,28.64
300389.SZ,艾比森,28.71
300693.SZ,盛弘股份,29.07
300529.SZ,健帆生物,29.37
300893.SZ,松原安全,29.57
300443.SZ,金雷股份,29.89
300319.SZ,麦捷科技,30.23
300898.SZ,熊猫乳品,30.51
300434.SZ,金石亚药,30.56
300373.SZ,扬杰科技,30.6
300207.SZ,欣旺达,30.78
300680.SZ,隆盛科技,30.96
300403.SZ,汉宇集团,31.13
300187.SZ,永清环保,31.15
300951.SZ,博硕科技,31.19
300481.SZ,濮阳惠成,31.2
300298.SZ,三诺生物,31.28
300387.SZ,富邦科技,31.4
300035.SZ,中科电气,31.51
300916.SZ,朗特智能,31.52
300978.SZ,东箭科技,31.54
300690.SZ,双一科技,32.14
300787.SZ,海能实业,32.17
300132.SZ,青松股份,32.7
300445.SZ,康斯特,32.79
300416.SZ,苏试试验,32.81
300547.SZ,川环科技,33.4
300482.SZ,万孚生物,33.52
300652.SZ,雷迪克,33.55
300206.SZ,理邦仪器,33.61
300083.SZ,创世纪,33.64
300945.SZ,曼卡龙,33.66
300194.SZ,福安药业,33.68
300145.SZ,南方泵业,33.72
300099.SZ,尤洛卡,34.12
300357.SZ,我武生物,34.2
300488.SZ,恒锋工具,34.68
300154.SZ,瑞凌股份,34.69
300988.SZ,津荣天宇,34.71
300674.SZ,宇信科技,34.72
300882.SZ,万胜智能,34.73
300100.SZ,双林股份,34.79
300610.SZ,晨化股份,34.88
300109.SZ,新开源,34.9
300636.SZ,同和药业,35.19
300286.SZ,安科瑞,35.19
300971.SZ,博亚精工,35.53
300509.SZ,新美星,35.53
300124.SZ,汇川技术,35.78
300580.SZ,贝斯特,35.93
300906.SZ,日月明,36.57
300433.SZ,蓝思科技,36.99
300940.SZ,南极光,37.26
300717.SZ,华信新材,37.3
300777.SZ,中简科技,37.63
300562.SZ,乐心医疗,37.66
300371.SZ,汇中股份,37.9
300627.SZ,华测导航,37.9
300697.SZ,电工合金,37.93
300041.SZ,回天新材,37.98
300130.SZ,新国都,38.2
300354.SZ,东华测试,38.38
300918.SZ,南山智尚,38.4
300545.SZ,联得装备,38.65
300681.SZ,英搏尔,38.7
300439.SZ,美康生物,39.59
300226.SZ,上海钢联,39.65
300200.SZ,高盟新材,40.08
300847.SZ,中船汉光,40.37
300841.SZ,康华生物,40.41
300014.SZ,亿纬锂能,40.56
300037.SZ,新宙邦,40.66
300217.SZ,东方电热,40.67
300341.SZ,麦克奥迪,40.79
300907.SZ,康平科技,40.81
300996.SZ,普联软件,40.97
300487.SZ,蓝晓科技,40.98
300413.SZ,芒果超媒,41.24
300905.SZ,宝丽迪,41.27
300408.SZ,三环集团,41.29
300631.SZ,久吾高科,41.52
300702.SZ,天宇股份,41.65
300709.SZ,精研科技,41.79
300303.SZ,聚飞光电,41.79
300407.SZ,凯发电气,41.94
300917.SZ,特发服务,41.98
300919.SZ,中伟新材,42.41
300784.SZ,利安科技,42.57
300519.SZ,新光药业,42.63
300088.SZ,长信科技,42.97
300923.SZ,研奥股份,43.02
300611.SZ,美力科技,43.32
300708.SZ,聚灿光电,43.51
300201.SZ,海伦哲,43.65
300398.SZ,飞凯材料,43.89
300008.SZ,天海防务,44.63
300957.SZ,贝泰妮,45.21
300306.SZ,远方信息,45.54
300653.SZ,正海生物,45.59
300684.SZ,中石科技,45.76
300409.SZ,道氏技术,45.79
300950.SZ,德固特,46.09
300801.SZ,泰和科技,46.09
300105.SZ,龙源技术,46.19
300699.SZ,光威复材,46.27
300508.SZ,维宏股份,46.43
300031.SZ,宝通科技,46.77
300192.SZ,科德教育,46.79
300623.SZ,捷捷微电,46.8
300856.SZ,科思股份,46.91
300602.SZ,飞荣达,47.51
300247.SZ,融捷健康,47.75
300852.SZ,四会富仕,47.96
300066.SZ,三川智慧,48.2
300858.SZ,科拓生物,48.22
300820.SZ,英杰电气,48.35
300618.SZ,寒锐钴业,49.05
300239.SZ,东宝生物,49.21
300999.SZ,金龙鱼,49.33
300622.SZ,博士眼镜,49.38
300221.SZ,银禧科技,49.42
300879.SZ,大叶股份,49.5
300017.SZ,网宿科技,49.75
